No,Username,Komentar,Sentimen,platform
1,@phyylisssn,yg daftar digistar internship Telkom udah ada yg dpt email blm sihh? gue bolak balik cek web magenta sama digistar statusnya blm berubah. plss udh ketolak 2 tempat magang ini Allahu,Negatif,x
2,@rabukanramayana,"langittttt, bisa kah kau loloskan aku sampai tahap akhir ke digistar intern telkom/sea labs, aku ingin magang dan konversi sks tanpa menangis (;",Positif,x
3,@ajelnuttz,"kalau kayak bumn telkom kmrn aku coba tuh dia jg via email gt di website digistar intern, bumn lain jg mirip” gitu",Netral,x
4,@ajelnuttz,"kalau pemerintahan setau aku rata rata unpaid, bumn beda beda sih sistemnya. kalau telkom yg digistar itu paid bantuan biaya gt sih",Positif,x
5,@doublejeo,"carats dan atinys yang pengen develop softskill ataupun hardskill, coba deh kepoin ini di akun instagram @livingintelkom, kebetulan program digistar telkom buka lagi 2023 ini, ayo jumpa aku juga sebagai salah satu mentor, aku kasih infographics juga ya buat persyaratannya",Positif,x
6,@Me_Blueal,"yang daftar digistar intern telkom siapaaa mauu tauu dong yang udah dapet email siapaa,, pliss ga ada kepastian ada yg bilang udah tapi banyakk yang belommm.",Negatif,x
7,@sukainformasi,Dapatkan kesempatan langka dari Telkom Indonesia melalui Digistar class intern Batch 3: mentoring intensif + real work experience mulai 16 Juni — daftar sekarang via platform BUMN!,Positif,x
8,@worksfess,work! Ada yang ikut digistar telkom? Pas r3gist di w3b nya kok provinsi/kota/kecamatan cuma ada Jawa Barat/Sukabumi & Bogor ya? Yang domnya selain disana gimana?,Netral,x
9,dduumdum,"merdeka belajar dikit bgt 💀✋🏻 telkom jg ga masuk + digistar jg dikurangin slotnya, di bdg aja cuma corpu guys",Negatif,x
10,erinaceinae__,ada yg struggling daftar di website telkom digistar ga ya?,Negatif,x
11,vevelalaa_,P ada yg daftar digistar telkom ga?,Netral,x
12,ajelnuttz,"@joy__ox kalau pemerintahan setau aku rata rata unpaid, bumn beda beda sih sistemnya. kalau telkom yg digistar itu paid bantuan biaya gt sih",Positif,x
13,ajelnuttz,"@joy__ox kalau kayak bumn telkom kmrn aku coba tuh dia jg via email gt di website digistar intern, bumn lain jg mirip” gitu",Netral,x
14,gizmologi,"Digistar Connect, Komitmen Telkom untuk Talenta Digital Muda di Indonesia https://t.co/G3rEV7TNpZ",Positif,x
15,himaska_unri,Halo Sobatika! 🤩✨ Ada kabar baik nih buat kamu mahasiswa aktif minimal semester 6! Telkom Indonesia kembali membuka pendaftaran program Digistar Class Intern Batch 3 loh~,Positif,x
16,K1L1O,@BigCheezy_ telkom lagi buka digistar  https://t.co/NsQLlsLdOO,Positif,x
17,informasidak,Kolaborasi kampus dan industri makin kuat berkat digistar connect dari telkom indonesia #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/wjVuYg0vzB,Positif,x
18,darksupports,Digistar connect jadi langkah nyata telkom indonesia bangun ekosistem digital nasional #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/SRaPRUZYtA,Positif,x
19,tabrakberita,Telkom indonesia hadirkan solusi agar lulusan kampus langsung siap terjun ke industri digital #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/kDxSxazaCx,Positif,x
20,ceritangerang,Ribuan talenta digital disiapkan telkom indonesia untuk hadapi industri masa depan lewat digistar connect #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/iiJqOMcu4O,Positif,x
21,updateindisini,"Telkom Indonesia hadirkan digistar connect, jembatani talenta digital dari kampus ke dunia industri #berita #telkomindonesia #digistarconnect #digistar #telkomforyou  @TelkomIndonesia @KemenBUMN https://t.co/tsPeDOUc4h",Positif,x
22,suaramayaa,Ribuan talenta digital dapat pembekalan industri melalui program Digistar Connect dari Telkom Indonesia  Sumber: https://t.co/9NR1H8jvd3  Ramos Amerika #heatwave #CDTV #telkomindonesia #digistarconnect #digistar #telkomforyou https://t.co/6YL9clHcif,Positif,x
23,JendelaIndo0,Telkom Indonesia ajak anak muda eksplorasi dunia digital lewat Digistar Connect. #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN  @TelkomIndonesia https://t.co/j8Fl4B52xS,Positif,x
24,PantauFakta,"Melalui Digistar Connect, Telkom Indonesia siapkan SDM unggul di bidang teknologi. #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN  @TelkomIndonesia https://t.co/2LXGSe3ivO",Positif,x
25,laura5726859513,Telkom Indonesia gelar Digistar Connect sebagai program pembinaan digital berkelanjutan. #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN  @TelkomIndonesia https://t.co/4JmDsSVv6Y,Positif,x
26,LensaIndonesia2,Digistar Connect jadi wadah Telkom Indonesia menjaring generasi digital Indonesia. #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN  @TelkomIndonesia https://t.co/g6SKhQ2W8X,Positif,x
27,macchiasha,"timeline instagram 2 hari yg lalu isinya digistar, kemaren oskm, sekarang paragon internship program",Netral,x
28,ITerbaru36314,Telkom Indonesia berikan dukungan untuk ribuan talenta digital melalui Digistar Connect  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/OVNGJFK0Gj,Positif,x
29,beritabaruu4,"Langkah Telkom Indonesia dalam menyiapkan talenta unggul, melalui Digistar Connect  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/XAyYO3iBCU",Positif,x
30,cakrawalanewss,Digistar Connect jadi bukti komitmen Telkom Indonesia dalam mencetak SDM digital unggulan  Sumber: https://t.co/e8ETMkD0WU  Amerika Malam #heatwave #bbtvi #Vecinos22J #telkomindonesia #digistarconnect #digistar #telkomforyou https://t.co/FzlvBWwW8u,Positif,x
31,terkiniberitau,"Melalui Digistar Connect, Telkom Indonesia bantu ribuan mahasiswa siap bersaing di dunia kerja digital  Sumber: https://t.co/iTPQUiJ0Sp  Suka Lusi Adek #KAIxPrada #LoveIslandUSA #Memur #telkomindonesia #digistarconnect #digistar #telkomforyou https://t.co/yPSGiqnBlk",Positif,x
32,InfoMayau,"@mbaklepon @worksfess Nama komunitasnya Digistar Club by Telkom Indonesia kak, mostly bahas digital skill salah satunya hari ini lagi kalan Bootcamp B2B gitu. 

Aku kebetulan Chapter Leadnya di UNDIP",Netral,x
33,sukainformasi,"Lebih dari 4.800 mahasiswa &amp; fresh graduate telah bergabung melalui Digistar Connect, bukti nyata kontribusi Telkom Indonesia dalam mencetak SDM unggul  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/BgAZZjWzpX",Positif,x
34,fokusinformasi,"Program Digistar Connect dari Telkom Indonesia kini menjangkau Makassar, Labuan Bajo, hingga Papua—hadirkan peluang langsung ke industri  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/7qti4y86SW",Positif,x
35,fokusberitaid,"Lewat Digistar Connect, Telkom Indonesia sukses gelar 30 sesi di berbagai universitas ternama—teknikal dan soft‑skill diasah habis!  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/LDgo5cqDqh",Positif,x
36,beritautamaid,"Telkom Indonesia hadirkan Digistar Connect di kampus-kampus Indonesia untuk jembatani dunia kampus ke industri digital, membina ribuan talenta siap kerja  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/MLCKL4pHNI",Positif,x
37,newsupdateinf,"Telkom melalui Digistar Connect telah menjembatani gap antara pendidikan tinggi &amp; industri digital. Lebih dari 4.800 mahasiswa, alumni &amp; pencari kerja muda telah mengikuti 30 sesi  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/IxXy8aC3x8",Positif,x
38,beritanasi0nal,Penguatan Hard &amp; Soft Skills Lewat Digistar Telkom Indonesia Tingkatkan Kompetensi Digital dan Profesionalisme  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/1Wl615y5oh,Positif,x
39,beritanasi0nal,Telkom Indonesia Dukung Ribuan Talenta Digital Siap Kerja Melalui Digistar Connect  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/JgxNKDDP6J,Positif,x
40,infonihguys,Telkom Indonesia terus memperkuat komitmennya dalam pengembangan talenta digital muda Indonesia melalui program Digistar Connect.  #berita #telkomindonesia #digistarconnect #digistar #telkomforyou  @kemenBUMN @telkomindonesia Amerika WW 3 tasyi https://t.co/p46dRk8oc3,Positif,x
41,TirtoID,Telkom Dukung Ribuan Talenta Digital Melalui Digistar Connect  https://t.co/AYd7FQuyGy,Positif,x
42,caklubis,Telkom Perkuat Jembatan Kampus dan Industri Digital Lewat Program Digistar Connect https://t.co/EN3JsSxENt #telkom #digital #digistar #indonesia,Positif,x
43,Interna87033216,Telkom Dukung Ribuan Talenta Digital Siap Kerja Melalui Digistar Connect https://t.co/mJ3N8O9tZF,Positif,x
44,netralnews,"Telkom Gelar Program Digistar Connect, Dukung Ribuan Talenta Digital Siap Kerja https://t.co/PIlLCdWlUo",Positif,x
45,indoict,Dari Kampus ke Industri: Telkom Dukung Ribuan Talenta Digital Siap Kerja Melalui Digistar Connect https://t.co/DdN05VZWrA  @indoict,Positif,x
46,TirtoID,Telkom Dukung Ribuan Mahasiswa Siap Kerja Lewat Digistar Connect  https://t.co/Mg1FlCqAgv,Positif,x
47,tavorynrash,"@janeyrle @undipmfs kak ini tuh dr telkom, si sendernya yg pegang digistar club undip. Kepoin ignya ajaa, aku sampe apal templatenya begini😭",Positif,x
48,kumparan,Telkom Dukung Ribuan Talenta Digital Siap Kerja Lewat Program Digistar Connect https://t.co/ZvjUu3MU0s,Positif,x
49,berita_resmi,Telkom Indonesia gelar Digistar Class sebagai bentuk komitmen pendidikan digital. #berita #telkom #digistar #telkomforyou @KemenBUMN  @TelkomIndonesia https://t.co/EpXYwEvNs7,Positif,x
50,berita_resmi,Digistar Class dari Telkom Indonesia bantu peserta kuasai skill digital kekinian. #berita #telkom #digistar #telkomforyou @KemenBUMN  @TelkomIndonesia https://t.co/bmzn6TnQ8v,Positif,x
51,txtdito,A great things start from digistar club🤩🥶✨✨✨✨✨✨✨✨ https://t.co/VKKeKV39KQ,Positif,x
52,branbrebro,"@dindahahaaaa @chaddeeeee bukann, eh btw maksud gua pengurus digistar club itu mereka ngurusin proses rekrutmen anak” magang ya bukan anak magang yg ngurus clubnya, mereka yang ngadain digistar class itu, tau kalo unpaid tuh karena mereka oprec khusus alumni program telkom doang, kalo magang mah paid",Positif,x
53,AkuGuide,@tanyarlfes Telkom sangat worthit karena Deket dengan telkomgroup jadi utk magang dan kerja peluangnya sangat bagus,Positif,x
54,allaboutnewsID,Mahasiswa atau fresh graduate? Jangan lewatkan kesempatan magang di Telkom lewat Digistar Class Intern Batch 3! #berita #telkom #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/0jyGBF1LyL,Netral,x
55,seputarnewsid,Telkom Indonesia kembali hadir dengan Digistar Class Intern 2025 Batch 3! Siap mengasah skill digitalmu? #berita #telkom #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/GhwCM5bf0H,Positif,x
56,everynewsid,Bergabunglah dengan talenta muda terbaik Indonesia di Digistar Class Intern Telkom 2025 Batch 3. Daftar sekarang! #berita #telkom #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/a1Vg9LCKGj,Positif,x
57,cileduginfoin,Kamu punya passion di dunia digital? Ini saatnya! Digistar Class Intern Batch 3 dari Telkom Indonesia resmi dibuka! #berita #telkom #digistar #telkomforyou @TelkomIndonesia @KemenBUMN https://t.co/EgiVyDWT5i,Positif,x
58,beritahariann3,Telkom Indonesia melalui Digistar Class meningkatkan kualitas perguruan tinggi  #berita #telkom #digistar #telkomforyou  @KemenBUMN @TelkomIndonesia https://t.co/5Gum5b9AXm,Positif,x
59,beritahariann3,Telkom Indonesia buka Digistar Class intern batch 3 bagi mahasiswa  #berita #telkom #digistar #telkomforyou  @KemenBUMN @TelkomIndonesia https://t.co/gnYcbBambS,Netral,x
60,brinaya733,Komitmen Telkom Indonesia dalam meningkatkan kemampuan mahasiswa melalui Digistar Class  #berita #telkom #digistar #telkomforyou  @KemenBUMN @TelkomIndonesia https://t.co/gtUPd5YyBi,Positif,x
61,pawanginformasi,"Telkom Indonesia kembali hadirkan Digistar class intern 2025 sebagai ekosistem talenta digital — kombinasi hard skills (AI–Cyber Security–Cloud–B2B) dan soft skills, plus proyek langsung di TelkomGroup!  #berita #telkom #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/55b4SLZbeT",Netral,x
62,infolokalid,Digistar Class Intern 2025 Batch 3 merupakan persiapan Hard Skill dan Soft Skill di era digital bagi mahasiswa  @TelkomIndonesia @KemenBUMN #berita #telkom #digistar #telkomforyou https://t.co/iryFKA3jl0,Netral,x
63,sukainformasi,Dapatkan kesempatan langka dari Telkom Indonesia melalui Digistar class intern Batch 3: mentoring intensif + real work experience mulai 16 Juni — daftar sekarang via platform BUMN!  #berita #telkom #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/xL7rMBNBBv,Positif,x
64,fokusinformasi,"Gabung di Digistar class dan rasakan langsung pengalaman magang di lingkungan profesional Telkom Indonesia — dari AI, cloud, hingga cybersecurity, semua dalam satu program komprehensif!  #berita #telkom #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/Xfw0j99Iw2",Positif,x
