sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3112189,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
2254742,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,No,0.0,0.97,0.93,0.0,No,No,No,Yes,No,No
1855086,233.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,No,0.0,0.92,0.87,0.0,No,No,No,Yes,No,No
1609924,1.0,8.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,No,0.0,0.42,0.36,0.0,Yes,No,No,Yes,No,No
1208334,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.69,0.0,No,No,No,Yes,No,No
1367764,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.68,0.66,0.0,Yes,No,No,Yes,No,No
1602797,187.0,2.0,0.0,200.0,400.0,550.0,50.0,149.0,302.0,484.0,66.0,No,0.0,1.0,0.94,0.0,No,No,No,Yes,No,No
2183684,307.0,4.0,0.0,0.0,0.0,0.0,16.0,43.0,87.0,124.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
3098655,19.0,8.0,0.0,0.0,0.0,7.0,3.0,8.0,12.0,19.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
2048406,6.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,2.0,No,0.0,0.44,0.64,0.0,No,No,No,Yes,No,No
1268897,2.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,5.0,2.0,No,0.0,1.0,0.82,0.0,No,No,Yes,Yes,No,No
